questions,answers
What should I expect in the Computer Science field?," Computer science is (quite fortunately) a very broad and deep area of study, and can afford you opportunities in a broad number of fields. For example, I have leveraged my computer science degree in order to build a career in consumer software development (more specifically: web-based software development). A number of my friends have used their degrees to become quality assurance engineers, professors, network engineers, and entrepreneurs.   The most common work-related skill that will be required of a computer scientist is the ability to read, write, and manage quality code. The most common programming languages that I have encountered in my years as a web-focused software engineer are Java, PHP, Python, and Ruby; however, there are a vast number of additional languages in the various technical fields that are creating demand for competent developers that can specialize.   Since the majority of programming languages adhere to the same core principles of construction, it is rarely an insurmountable challenge to learn an additional programming language. My recommendation is to begin learning a language that is innately object-oriented and has a significant amount of developer assistance tools (such as Java). Once you begin to understand the nuances of how good code is structured, it will be easier to transfer those core skills to the learning of another language. All good university curriculums will focus the majority of your effort on learning these fundamentals (as opposed to simply teaching you the ins-and-outs of any specific language).  "
What should I expect in the Computer Science field?," I agree with Bryan is answer but would like to add that you should probably also have a solid background in Algorithms and Data Structures, no matter which particular career or which programming language you end up choosing.    First, a lot of basic algorithms and data structures are actually being used on a daily basis even in the coolest tech companies, and second, getting a solid understanding of these will help you develop a ""computer science"" way of thinking (how do you develop an algorithm to solve a particular problem? how do you tell if an algorithm is good? what are some of the limitations when developing computer programs? etc.). It is a lot about math in general, but then you also need to be able to translate your ideas efficiently into code.  "
What should I expect in the Computer Science field?," A bachelors of science in Computer Science is usually a breadth degree, so you take courses in a bunch of different fields of computer science such as OS, Networking, Databases, Artificial Intelligence, Compliers, Programming. From there you decide what interests you the most and you can decide to pursue a post bachelors degree in that specialization or you can join industry and use you skills.  "
What are some good questions to ask a professional panel?," Relevant questions might include:    What does a typical day look like?  What do you like the most about your job? What do you like the least about your job?  What type of person thrives in this role?  What are the skills that a person needs to get hired?  What are the skill sets that a person needs to advance in these types of careers?  What are the typical college majors that professionals in your organization have? Are internships in this field, or other fields valuable to entering this field? What are the different career paths available to professions once they join the company? Are you always a generalist? Or is there some kind of specialization that occurs, formally or informally, after many years with the company?     I have attended any participated in many different panels of these types - these are probably the most useful questions to ask, to get a really robust response from the panelists.  "
What are some good questions to ask a professional panel?, Here are the most commonly asked interview questions:   1. WHAT IS YOUR BIGGEST STRENGTH?   Here you must discuss the attributes that qualifies you for the specific job and set you apart from rest of the candidates.   2. WHAT IS YOUR BIGGEST WEAKNESS?   Here you must frame your answers around positive aspects of your skills and your abilities as an employee.   3. TELL US ABOUT YOURSELF?   It’s tricky; don’t give too much or too little personal information.  for more questions:  interview questions  
About how long would it take to become an Oncologist?, About 11 years. Check the link below.   https://www.careergirls.org/resources/how-do-i-do-this/oncologist 
What is the life of a solar engineer like?," Hi Catterina,   As a mechanical engineer, I have worked on several solar power projects in the past. Indeed, it is fulfilling work to build power plants that use solar energy to heat water into steam to drive a steam turbine generator. Designing the steam turbine to handle varying steam conditions pose interesting problems that the engineer must solve. Renewable energy in general is an exciting field even so given it is limitations. To become a solar engineer, you would major in either electrical or mechanical engineering and then try to find a job in the power industry in regions where solar energy and wind energy are growing. Because renewable energy is limited in its application (i.e., sunny areas like southern California, Arizona, New Mexico for solar projects and windy areas for wind power such as the mid-Atlantic states), the job market will be a bit more competitive. But, do not let that sway you, by the time you graduate, we may have an energy policy that places renewable energy as a priority. In the meantime, engineering is a tough major but, if I did it, so can you. It is tough because it requires some more discipline than other non-STEM majors. It also requires time, dedication, and the desire to learn how to solve problems that confront society. If you have such an extreme interest in renewable energy and engineering, I do not think it will be too difficult for you at all. As you prepare for college, get as much exposure to mathematics, physics and solar energy as possible. Also, be sure to learn some fundamentals of the business side of solar power. Here are some useful links for you:   On working as a solar engineer: http://www.environmentalscience.org/career/solar-engineer On the solar power industry: http://www.seia.org/research-resources/major-solar-projects-list On solar energy in general: https://en.wikipedia.org/wiki/Solar_power A project I worked on: https://en.wikipedia.org/wiki/Mojave_Solar_Project   Good luck to you! "
What do you have to have to be a EMT, Many Junior Colleges have specific EMT programs. You may also wish to look at an EMT as a stair step to ultimately becoming an RN or Doctor.  
Is having a strong  work ethic and be very skilled at time management: would that guarantee me a successful career in cosmetology?," Having strong work ethic and time management are some of the skills you need to have in order to be a good stylist.  Since you’ll be working on clients it’s a must to come to work 15mins before your first client.  Providing different services will required you to time manage or you’ll run over time and you’ll be late for your next client.    Having those qualities are a must in this industry.  You’ll also need strong interpersonal skills, communicate well, and practical skills.   "
Is having a strong  work ethic and be very skilled at time management: would that guarantee me a successful career in cosmetology?," Greetings:   1). Let is be a little practical here. Let us say you have a beauty salon and you have clients that you have booked for the day. You have set up appointments and at 9am your first appointment arrives. The employee you assigned and that the customer only wants that employee to attend to her for the day,  has not come in as yet,. No calls from the employee.  2). The other employee who has arrived at 9am for her 10:00 am appointment. She has to then rush out to get her breakfast at the nearby coffee shop. She arrives 9:30am and starts to prepare for her 10am. She forgot to get something from the coffee shop and so she goes back - there is a delay and she returns at 10:15 and meets her client waiting for her and very upset.  3). Oh, by the way, there is another competitive beauty salon right up the street from yours and they are a new in the area and seems to be just waiting for your dissatisfied customer.  4). What would you say - is that the kind of employee you would tolerate in your company?  5). Your answer should give you a hint as to your question. Would you agree? Kind Regards "
Is having a strong  work ethic and be very skilled at time management: would that guarantee me a successful career in cosmetology?," Absolutely  strong work ethics you earn the trust of all, along with time mngmt will be responsible and responsive in timely manner.  Those 2 matter fact are the key for success. Keep it up road to success ! "
Which are the best ways to get scholarships," Hi, there are many ways to find scholarships. Start with your local church, community centers and other civic groups. School guidance counselors are also a great resource. Also, search the internet and ask others you know who are currently in college. If you do a little research, you will find many options for scholarships. Best Wishes! "
What majors should I take in college in order to be a successful architect?," Hi Asaad! It is true that architects are required to take a lot of math classes, including algebra, trigonometry and calculus, but they also take art and design classes.  Before applying to college, research which schools offer specific degrees in architecture (Bachelor of Architecture). These programs will include all of the required courses you will need to take.  You should also research what the application process is, as the college may require that you apply directly to their architecture program and submit an art portfolio. "
Aeronatical career  question," Aerospace engineering is the primary field of engineering concerned with the development of aircraft and spacecraft. It is divided into two major and overlapping branches:        1)   Aeronautical engineering was the original term for the field, but as flight technology advanced to include craft operating in outer space, the broader term ""aerospace engineering"" has largely replaced it in common usage.          and       2)   Astronautical engineering is the broad application of science and engineering to aerospace operations. Special emphasis is placed on astrodynamics, aerospace systems design and control systems.   Here is some helpful information regarding the broader field:   http://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm   http://www.simlabs.arc.nasa.gov/?q=ask   Let me know if this helps.  I would like to help further if I can.  Enjoy your journey! "
How can I become the next LeBron James?," I can not promise you that you will become as good as LeBron James but if you want to become a good basketball player you need to practice, and practice the right way.   Find a local program or a local coach and let them teach you the correct forms and the correct techniques of basketball and then dedicate yourself to practicing and perfecting. It will take lots of time and dedication to the game, at times it wont be ""fun"" but you will improve. Push yourself daily to do each technique perfectly.   Study the game, watch basketball at all levels and become a smart player, watch what players  do right, watch what they do wrong. Learn from other players so that you can adapt your game to make the right decisions.   Take care of your body. Eat right, drink water (cut out the Soda), exercise every day and push yourself.   Good Luck. "
do you need to have a lot of work experience to get a gob more easily?," Ethan, I would say quality over quantity is what matters most. Having 20 jobs may seem impressive, but if they do not relate to the job that you are applying for then they are pretty much useless. Having worked jobs that pertain to what you are applying for and having work experience that teaches you valuable skills that can be used in your new job is what is the most valuable thing.      Do not worry about not having years of work experience, you are better off with a few internships and jobs that are relevant over numerous insignificant jobs/internships.       Best,  Austin     "
How long do you have to go to school to become a diesel mechanic?," You can become a diesel through a technical school or even an apprenticeship program. If you go to a technical or trade school it can take from 1-4 years depending on how comprehensive a program you attend.  You will need, or will be taught, basic math, science and writing skills along with actual hands-on skills in any of these programs.  Some diesel manufacturers have training programs also.  We are in dire need of good technical people who repair heavy machinery.  The pay is general very good although the hours can be demanding. Good luck.  "
How long do you have to go to school to become a diesel mechanic?," 6 months to a year depends on what technology is involved, you do NOT need to go to college.  Find a ""tech"" school in you local area or even an ""apprenticeship"" program is available, cheers "
What how can I get or find other scholarship or grant programs for college?,"Hi Monica,  Do not give up just yet. Go to your school is financial aid office and see what other options you have to pay for school. You can also get in contact with your school alumni affairs office and ask if there are any scholarships/assistance available as alumni have their own scholarships that they award new and current students.  You can also do an online search to see what is available as well.  Do not throw in the towel just yet. There are always options. "
What how can I get or find other scholarship or grant programs for college?,"HI!  Each university offers scholarships specific to their school, and sometimes even your major.  Beyond that, and because I have done this with 2 of my own children, you should seek outside scholarships based on need and merit. Some of the big ones are Coca-Cola, Ronald McDonald, and the Gates Foundation.  (you can google these) Additionally, there may be scholarships that you can find via Google, based on your race, gender,  or being the descendant of a veteran (these are just examples).  Also, you can go to the library and get books on scholarships, grants and fellowships.  I found these very helpful, as they were broken down by university, major, and specifics like ethnicity.  Last, try some of the websites to help you search for more college money!  Good luck and remember all the scholarship deadlines are coming up soon!    www.fastweb.com/Scholarships www.collegescholarships.org https://www.scholarships.com"
What is a job in mathematics," This is a great question. I actually decided to change my major to Mathematics from Dental Hygiene/Business Administration. I met with my adviser to have a better understanding of what potential careers would be. When I met and asked her what I could do, she looked me in the eyes and told me anything I wanted - that Mathematics opens so many doors.  She actually gave me a few things to research, one book being ""101 careers in Mathematics"". This may be a resource to you as you continue to do research.     I decided to major in Mathematics, and minor in Business Administration, therefore I could work within Business and have that Mathematics background that would appeal to companies. I originally thought about Actuary work but after research decided it was not for me, and opened my search to Financial Analyst work where I was able to find opportunities.     There are so many Pro is to careers with a Mathematics background. This degree enables you to think and look at situations differently compared to other people.It is appealing to companies and hiring managers.    "
What is a job in mathematics," You might want to check out the website BeAnActuary (http://beanactuary.org)  #beanactuary . An actuary is a business professional who evaluates risk, often in an insurance company. There are also more nontraditional opportunities for actuaries because risk is so much a part of modern life.     If you like what you see on the website you should know that you need to be a self starter as an actuary, so you can pass the exams required to get the credentials while you are also working in a business environment. But you do not have to go to school beyond an undergraduate degree to get these credentials. "
What are the personality traits required for someone who wishes to pursue in Psychology?," I would agree with Jennifer is response.  You can do a lot of things when you are a psychologist.  There are many different types of psychologists, but most people think of a therapist.     Before you can become a therapist, you will undergo considerable training to prepare you.  The training will help you develop skills that are necessary for the job.  Personality is less important than your ability to learn those things that will help you do your job.  As any healthcare provider, being a therapist tends to attract people who want to help others and who have considerable empathy.     Hope this helps. "
What are the personality traits required for someone who wishes to pursue in Psychology?," In some ways, it depends what you want to do in psychology. Do you want to be a therapist, or would you prefer to do research? Do you want to become a professor, or go to medical school and become a doctor? All of these areas will have you interacting with people, but in very different ways. Therapists and doctors are taking care of people, whereas researchers are studying and learning about people (and usually welcoming them into the lab to do their studies). These professional interactions are different from simply socializing, but they do require warm interaction with others.   Other traits that are important are being hardworking and persistent, while also being able to admit when you are wrong. These traits will benefit you in almost any career. And, of course, you will be better in your career if you love what you are doing. "
Why do colleges reject students?How do you pick the best college that suits you.," Hi Franceska!     Sorry to hear about your top choice but congrats on getting into others! I wanted to reply to this question because the same thing happened to me. I was rejected by my top choice but after 4 years at the college I ended up at, I cannot imagine going anywhere else and honestly I am so thankful I was rejected because I would not have had the amazing experience I did. So I just wanted to remind you not to lose hope and to say just because you did not get into your dream school does not mean that college will not be the best four years of your life.     It is definitely important when considering your other options to think about what you want to major it, what your interests are, but it is also important to remember college is what you make of it. You want to find a campus that you feel comfortable at and can relate to other students, but a lot of that comes from being involved. No matter what school you decide on, put your whole self into being there and being a part of the campus and the life there. For me, what ended up meaning the most and contributing to my love of my school the most were experiences I had outside of the classroom. Yes, the skills and knowledge I gained in class helped me in my career and were my focus on campus. But what made the experience and what I will hold onto was the campus community and the connections I made there.      Hope this helps! Good luck with your decision! "
Why do colleges reject students?How do you pick the best college that suits you.," A college, just as a career, is an individual match for each person.  The first step is getting to know yourself.  During my many years in Human Relations and College Recruiting, I have found that too many students have neglected this very important point and have ended up in  a job (the practical application of their major area of study) and found that they did not like it or were not comfortable with it because they had missed that important step of getting to know their personality traits and matching them with an appropriate major. "
How can you tell which scholarships are requitable? I come across so many scholarships and have filled out many but never hear back from them.," I would start with the Federal Pell Grants website here:&nbsp;https://studentaid.ed.gov/sa/types/grants-scholarships/pell     They list a few other grant programs here:&nbsp;https://studentaid.ed.gov/sa/sites/default/files/federal-grant-programs.pdf     Another idea would be to join the military and use the GI Bill.&nbsp;I did not join the military but it does offer this benefit to veterans.     Find a school you want to attend and ask their financial assistance department how you can get the grants&nbsp;you need to go to that school.&nbsp;They may also be aware of grants you did not know about.     You could also ask your church if they have any grant money available for your college or ask your parents if they would be willing to take out a loan to help you.     Choosing a junior college for your first two or three years can also make the cost lower and that is what I did.&nbsp; I had summer jobs that paid for junior college, and I got through the rest of my degree with 1) Pell Grant, 2) a fund provided by my church (it was a loan but it was a low-interest loan), and 3) a Parent Plus loan which was another low-interest loan my parents took out in their name. "
How can you tell which scholarships are requitable? I come across so many scholarships and have filled out many but never hear back from them.," Hi Jasmine, there are definitely red flags to look out for: application fee, no proof of past winners, open to everyone, etc.  "
How long did it take until you got your first job during high school? Or did you at all? Is the moment to get a first job during high school or post secondary?," HI,  In my opinion you are behind your peers.  Extra curricular activities are nice, but unless you are really good at one of them, chances are that once you get out of HS, nobody will care.  That first job, regardless of what it is, teaches a young person a lot about the working world and how to relate to co workers, the boss, customers  and so many other things that you just do not get anyplace else.  Part time work can also be fun, depending upon your likes and attitude and can possibly give you some idea of what you might like to do in college and the working world beyond collage.     Think about it, two people are applying for a job with identical  backgrounds and educational credentials, one has no work experience and the other does - who are you going to pick if you were the hiring manager?    Good luck, "
How long did it take until you got your first job during high school? Or did you at all? Is the moment to get a first job during high school or post secondary?," Any experience is great experience!  It is never too late to start, but I would look into getting a job sooner rather than later.  Although the actual position might not be what you want for a career, it shows the development of much needed soft skills.  Employers want to know you are able to do things, such as:  clocking in and out on time, showing up for work, having a reliable work history, reporting to a supervisor, etc.  The sooner you start your work history the better.  Work Experience speaks wonders to any hiring manager and could just put you over the top when it comes to finding/starting your career!  When/if you go to college, look into various campus positions.  These could be a great way to gain much needed experience.   "
What types of information shold my resume have in order to land a position with NAADAC?,
What is the pay rise expexted from 2010 to 2020 for a Obsetrician and Gynecologist,"Hi Nacolma,  I agree with Bill that it can be difficult to predict the exact pay increase.  However, there are two government-run websites and a job information website that I think can give you a much better picture of what to expect.  1) O*Net - (www.onetonline.org) - this is a huge source of data for many kinds of jobs, including OBGYN.  Here is the link for information about OBGYN and expected job growth/salary (at the bottom) - https://www.onetonline.org/link/summary/29-1064.00  2) US Department of Labor (https://www.bls.gov/emp/) - this gives data on expected job growth and trends across the country.  3) Use Glassdoor and do some research on the salary averages and trends in your area  Good luck!"
What is the pay rise expexted from 2010 to 2020 for a Obsetrician and Gynecologist," The income for OB Gyn is dependent on locality and level of experience.  Presently the salary range is from $218,000 to $270,000 topping out at $420,000.   Projected income over the next ten years is very difficult information to acquire.  One source stated ob gyn saw a 10% increase in salary from one year to the next.   Hope this helps.   Bill Cox "
How do I put my voice in an essay?, Best way for an impactful essay is to include a personal experience / message in your essay. 
how long does it take to be a carpenter?,
Should I enter college right after high school if I do not know what I wish to major in?," The ""gap"" year has actually gained some traction here in the US as of late (as exemplified and more publicly discussed by the fact that President Obama is eldest daughter has announced her intention to do so).   My opinion, if there is something you are looking forward to do, and you feel as if it will help you either better appreciate what you do or make a better decision ahead of what you want to or plan to do, then go for it.  Just be prepared to think about how that year off has benefited you, and what your story will be to explain how it furthered your growth.  You should always be moving forward, and whether college is your next step, immediately or after time off, or is irrelevant.  Whatever your next step is should be a building block for what you plan to do.   "
Should I enter college right after high school if I do not know what I wish to major in?," This is a great question because there are so many ways to answer it.  Honestly, the values I grew up measured our family is spend on college to what was expected on the other side.  Hence, I had to come up with a major quickly my first semester because I had gone in without one.  If you honestly have looked into the different majors your choice of university is offers (I am assuming you have got 2-5 undergrad programs you are looking at) but still unable to isolate what you might be interested in, then my thought...  Why not take a semester or a year off?  I look back at all the energy and time I had back then and wish I could have had the courage to take some time to go off the beaten path.  Now the other important question, if you do not go right to college, what are you going to do with this semester or year you take off?  How are you going to pay for whatever you want to do?  Interested to hear from that side of the coin... "
Should I enter college right after high school if I do not know what I wish to major in?," There is no right or wrong answer to your question. While you may be unsure of what you want to do, if your future plans include college then you can certainly get started upon your graduation from high school. Taking this route would provide you with the opportunity to take the core required courses and to experiment by taking electives in those areas that you are possibly interested in. One route that many students are taking is to enroll in a local college or university to take the core basics and develop an area of focus for the first couple of years and then transferring to a higher profile or ivy league school to study their actual major. Taking this direction save a lot of money and gives you some additional time to think about your major and what you really want to study...best of all your degree will reflect that high profile or ivy league school!    If you decide not to go to school right away that can also be a good choice as long as you make sure you are doing something to advance yourself personally and professionally. Here are some alternatives: - Learn a Trade - Get a Job - Volunteer - Travel - Attend a Vocational School - Join the Military   Good luck! You will be successful no matter which choice you take! "
Should I enter college right after high school if I do not know what I wish to major in?," If you do not know what you want to do, it would be okay to take some time off before college. I went to college right after high school and then left after a year. I eventually went back and completed my degree, but it took some time to figure out what I really wanted to do.    There is no rule saying you must jump right from high school into college. Think about what it is you really want to do in life. Maybe a traditional college will not even be the right path. Maybe it will be film school, culinary school, or a technical school.  "
What is it like being an air traffic controller?," Hi Demarie,   Air traffic control is a career like no other. Once you’ve completed your training, you’ll be part of a community of highly-trained professionals, who are essential to the smooth and safe running of the aviation industry. 24 hours a day, they help to keep some of the busiest airspace in the world moving. The work is challenging and demanding, but it’s immensely rewarding too.   People come to this career from all kinds of backgrounds. So while you may have knowledge or experience of aviation, it’s by no means essential. It’s the kind of job in which your attitude and aptitude is far more important than your specific background.   Air Traffic Controllers (ATCOs) are also essential to the efficiency of airports and the airline industry. With the ever-increasing volume of traffic, managing flights is a complex and sometimes pressurised job.   As an ATCO, you’ll be using radar and other technology to track planes ‘en route’ between airports and keep in touch with pilots. Alternatively, you’ll be liaising with the planes on approach.   If you’re in charge of the airspace between airports, you’ll be called an Area or Terminal Controller. And if you’re helping pilots land, the role is described as an Approach or Aerodrome Controller.   They issue instructions, advice and information to pilots by radio to keep air traffic flying safely, efficiently and quickly. Broadly, they tell aircraft to go up, go down, turn right, turn left speed up and slow down.    Read more in: http://www.nats.aero/careers/trainee-air-traffic-controllers/   Best! "
What is the best summer internship or job one can obtain with only one functioning arm?," Caitlin there are so many choices in the Bay area that include many startups that are looking for creative students just like you to join their summer intern team .  I work at Wonder Workshop in San Mateo and we are always looking for bright minds with creative ideas to add to the collaborative team structure. Even though you are currently setback from your surgery, use your voice to be heard, and activate voice to to text to expedite  your word processing jobs/tasks in the mean time.  Listed below are some creative options focused on your identified hashtags from above. "
Will you be able to work while studying neurosurgery,
There are many schools with Sports Management Degrees and some with either Broadcast Journalism or Sports Media.  What is the best degree for the career of my choice?," Hi Julian,      It depends on what your passion is in the Sports Industry. For instance, if you want to pursue a management or executive path, than a Sports Management bachelor or master degree would be a good option. Whereas, if your heart is leaning towards being in front of the cameras, talking on the radio, writing news articles or being a field reporter, then Broadcast Journalism is the way to go. However, if you like both areas, a Sport Management degree with a concentration in Sports Multimedia will give you a very powerful base and expose you to a broader spectrum in the industry. Good luck! "
How do you stay focused on studying if your dorm is loud?," Earplugs are an AWESOME investment! :)       Dorms usually have designated study areas, and if that does not work, since you are on a dorm, you must be near the campus.  Most college campuses have a library (or several) with designated study areas, and there might also be a student union with the same resources.  You do not have to study inside of your dorm all of the time, so do not hesitate to go outside with your book under a tree if the weather is nice or to a public library, if you are trying to get away from other students.  You can also ask your student adviser in the dorm or other students where the best, quiet study areas are. "
How do you stay focused on studying if your dorm is loud?, I experienced the loud dorm issue and found that if I wanted to stay in my room then noise canceling headphones with study-friendly music such as classical or jazz helped a lot.&nbsp; Most of the time I would leave the dorm and go to a place that offered a quieter place to study and work.&nbsp; I tried to stay away from the library study rooms because they were usually more crowded and I found that distracting so I would search out quiet spots in buildings or sometimes an empty classroom was available for study use. 
How do you choose between two careers?," Congratulations on being interested in finding the right career to follow.. It takes a special person to enter into a specific career field and meet the demands which that career area presents.&nbsp;The first step is to get to know yourself to see if you share the personality traits which make&nbsp;one successful in that area.&nbsp;The next step is doing networking to meet and talk to and possibly shadow people doing what you might think that you want to do to see if this is something that you really want to do, as a career area could look much different on the inside than it looks from the outside.&nbsp;&nbsp;When I was doing college recruiting, I encountered too many students, who skipped these important steps, and ended up in a career/job for which they were ill suited.    "
How do you choose between two careers?," I think it is great that you have narrowed it down to two choices, but I would definitely say this choice is totally dependent on what interest you more and what you find to be more intriguing for you. You can also have a major and a minor so you could technically do both.  "
How do you choose between two careers?,"I find it exciting that you have narrowed this down , what is your true passion and what do you want to do long term.  What makes you happy and gives you the most satisfaction?"
Do you have to master architecture in order to pursue a career in interior design?," Hi Poigsa,   Architecture is a basic knowledge of interior design. Today there are many program not just offer interior design but also interior architecture and design. In addition to Interior design often inspire by the architecture elements. That being said, you can master the architecture but it is not focal study in order to pursue an interior design career. Unless you want to become an architect.  When you apply for an interior design program, look for a program that will give you a basic technical skills such as sketching, perspective drawing, construction drafting, computer aids design etc. Also, the program should provide you knowledge of color theory, programming, schematic design and business practices. You will also have a choice of choosing residential, commercial, retail, office design plus kitchen and bath design. For history, they may offer you architecture, art, and design etc.    Well, I hope I answer your question and good luck!!  "
Do you have to master architecture in order to pursue a career in interior design?," Hi Poigsa,   That is a great question. I was thinking the same thing in high school. You do not need a Masters in Architecture to go into Interior Design. However, you will need to take Architecture classes in order to get into interior design. All art students have to take the basic art classes before going into more specific class: drawing/painting before fashion design or graphic design. It is the core of what your skills will be based on. I hope that answers your question. Good luck!   Dream big, Vivian "
i love helping people I want to keep kids out of trouble what should i study?, Here are some ideas about how to keep kids out of jail.  You could learn much by visiting these programs and talking to their leaders to see what they do and how they got there and see if you can volunteer to learn more.   http://www.pbs.org/newshour/bb/keeping-young-offenders-jail-reduce-crime/ http://www.wingatewildernesstherapy.com/Programs-for-Troubled-Teens/Austin-Texas-TX/ http://reclaimingfutures.org/juvenile-justice-reform-moving-beyond-scared-straight-to-what-works 
i love helping people I want to keep kids out of trouble what should i study?, Hi Juan!   Here are some ideas about what you might want to study.   http://www.helpstartshere.org/kids-and-families/youth-development/how-social-workers-help-struggling-teens.html http://www.edb.utexas.edu/education/departments/undergrad/ald/ycs/ https://bigfuture.collegeboard.org/majors/psychology-developmental-psychology   Locate a local chapter of the National Association of Social Workers and arrange to go to a meeting to meet and mingle with social workers and see how you fit.   Congratulations on being interested in becoming part of the solution.     Best of luck!  Please keep me posted.  I would like to follow your progress! 
What are some resources and avenues I could look towards for gaining financial support for college at Stanford?," Hi, Cameron,     Congratulations on your acceptance to Stanford! That is a tremendous accomplishment. There are a lot of resources out there to help make college affordable. Student loans, grants, and scholarships are all common forms of financial aid. The first step is probably to file the Free Application for Federal Student Aid (FAFSA). I linked FAFSA is website below. I would also look into applying for grants and scholarships and also investigate the possibility of work study. I linked a US New &amp; World Report Article that gives a nice overview of understanding what types of aid are out there and the initial steps to apply for it.     I hope this helps! Best of luck! "
Good websites for starting salaries?, I always use https://www.glassdoor.com/Salaries/index.htm 
How do i become a computer teacher., You have to do masters in computer science in colleges so that you can become a teacher 
How do i become a computer teacher., This is not mandatory 
Computer programmer or software engineer degree,"Hi Titus, I would not focus on the definition of the roles, or the current scope of these roles. The world is changing fast and technologies also. Targeting a role in particular now may limit you tomorrow. What I would recommend instead is to follow your interests, develop expertise in the various tech areas you are interested in and that are contributing to tech (data, machine-learning, AI...), keep learning, develop your understanding of the problems people have today and will have tomorrow, and look for creative solutions.  The future belongs to those who understand the world needs and are able to create the best solutions to solve them. Technology is a mean to solve a problem.  The best in the software industry are creative, customer-focused, constantly learning and adapting. "
Computer programmer or software engineer degree,"Well there is not really such a thing as a ""computer programmer"" degree, just computer science.  Most universities will not have degrees in straight software engineering, so companies will hire candidates with computer science degrees.  For what degree to get, look for a school with a good comp sci program.   Now after you graduate, there definitely is a difference between a programming job and an engineering job (not that software engineering is ""real"" engineering, but that is a different discussion).  And in that respect, the other replies here are spot on - software engineer or developer jobs tend to pay more than ones that are just rote programming."
Computer programmer or software engineer degree,"Awesome choice! I would look for Universities or Colleges with solid Computer Science programs. Specifically ones that have a solid network of alumni that are actively involved in the companies you are interested in and the tech industry as a whole. A good relationship with their alma mater will result in them being more willing to help new graduates and perhaps even internship roles while you are still in school. I am a UI/UX designer but took a few computing courses in graduate school and have worked with a wide variety of engineers while running my startup company. I would say that the best ones to work with were the ones that had a bit of business savvy and creative edge in addition to awesome engineering skills. While pursuing a CS degree, I would urge you to try and seek out at least one UI/UX course to help you stand out. A couple engineers I work with also pursued a minor in Business or Entrepreneurship along with their CS degree. If you are interested in one day starting a company of your own, this can be a great advantage. As a previous answer stated, your main objective should be a continuous thirst for knowledge. Find various areas of tech you are interested in and go after it. Do not be afraid to learn new languages down the road and learn from other engineers :)"
Computer programmer or software engineer degree,"either one, this is a great choice, dont worry about titles all will fall into place later on in your career"
Computer programmer or software engineer degree,"either one, this is a great choice, dont worry about titles all will fall into place later on in your career"
Computer programmer or software engineer degree,"If I am being honest: in Toronto, programmers make about $25 an hour and engineers make upwards of $50. Programmers use scripting languages to build websites, quality control, and automate work, while engineers design algorithms in type safe languages. It depends on your ambition. If you want to learn as much as you can about your work and your craft, aim for being a software engineer, and then either a manager or an architect. If you just want a relatively easy life,  then become a programmer, but understand that, ultimately, you are disposable either way."
How do I shadow a specialist in the medical field?," Hi Kylie!  Great question!  Honestly, after you get permission from mom and dad just ask!   If your parents or family know any specialists, ask if you can spend a day with them in the office.  You can always try volunteering a local hospital.  I am a physician assistant and I started out as a volunteer at my local hospital.  People may say no but there are nice medical professionals out there who want to help.  Just keep trying!   "
What to take in engineering to become a pilot!??,"Hi Ganapathi!  While a degree in Aeronautical Engineering is awesome, you do not need it to be a commercial pilot.  If your intentions are to design aircraft, or be a test pilot, it is certainly a requirement.   For a career commercial pilot (airline pilot, etc.)  you will need a solid, practical understanding of physical science, math, and earth science.   The professional pilot 4 year degree programs usually require physics, algebra, and trigonometry.   If you are interested in pursuing a flying career in India, check and see if the airlines have a cadet program.  A cadet program will include all the training necessary to go from 0 flight time to airline pilot.  The best part is the airline pays for the course.  You will be obligated to work for them for some time, but it is a great opportunity to gain experience.   If you are interested in a 4 year professional pilot program in the U.S., there are many good ones at both large and small universities. Best of Luck!!"
What to take in engineering to become a pilot!??,"Hello Ganapathi! To become a pilot you usually need a bachelor is degree in aircraft operations, aviation, aeronautical engineering, or a related field. I had a roommate in college that studied Aerospace Engineering and he was able to transition nicely into the United States Air Force."
what major do you need for flim and audio editing?,"Pick up a camera and start shooting (with your phone if you have to). Start messing with audio. Practice and find what you are passionate about. From there, decide what you would like to concentrate in. Film and Audio is an art, and there is no bad art if it comes from the heart. Look into schools that offer resources and programs that is the current industry standard."
